scientificname (RAM),commonname1 (RAM),FisheryType,taxgroup,ISSCAAP name
Genypterus blacodes,New Zealand ling,Other Marine,other marine fish,Miscellaneous demersal fishes
Genypterus capensis,Kingklip,Other Marine,other marine fish,Miscellaneous demersal fishes
Glossanodon semifasciatus,Deep-sea smelt,Forage Fish,forage fish,Miscellaneous demersal fishes
Glyptocephalus cynoglossus,Witch flounder,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Glyptocephalus zachirus,Rex sole,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Haliotis iris,Blackfoot abalone,Invertebrate,bivalves-gastropods,"Abalones, winkles, conchs"
Haliotis midae,South African abalone,Invertebrate,bivalves-gastropods,"Abalones, winkles, conchs"
Haliotis spp,Paua,Invertebrate,bivalves-gastropods,"Abalones, winkles, conchs"
Heterocarpus reedi,Nylon shrimp,Invertebrate,shrimps,"Shrimps, prawns"
Hexagrammos decagrammus,Kelp greenling,Other Marine,other scorpaenids,Miscellaneous coastal fishes
Hippoglossoides dubius,Flathead flounder,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Hippoglossoides elassodon,Flathead sole,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Hippoglossoides platessoides,American plaice,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Hippoglossus hippoglossus,Atlantic Halibut,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Hippoglossus stenolepis,Pacific halibut,Flatfish,pleuronectids,"Flounders, halibuts, soles"
Homarus americanus,American lobster,Invertebrate,crabs-lobsters,"Lobsters, spiny-rock lobsters"
Hoplostethus atlanticus,Orange roughy,Other Marine,other marine fish,Miscellaneous demersal fishes
Hyperoglyphe antarctica,Bluenose,Other Marine,other marine fish,Miscellaneous demersal fishes
Illex illecebrosus,Northern shortfin squid,Invertebrate,cephalopods,"Squids, cuttlefishes, octopuses"
Istiompax indica,Black marlin,Tuna and Marlin,tuna-billfish,"Tunas, bonitos, billfishes"
Istiophorus albicans,Sailfish,Tuna and Marlin,tuna-billfish,"Tunas, bonitos, billfishes"
