Area,Sp.group,Name,Species,2009,2011,2013,2015,2017,U2009,U2011,U2013,U2015,U2017
37,36,Atlantic bonito,Sarda sarda,,,,,,,,,,
37,36,Plain bonito,Orcynopsis unicolor,,,,,,,,,,
37,36,Swordfish,Xiphias gladius,,,,,,,,,,
37,36,"Other Tunas, bonitos, billfishes",,,,,,,,,,,
37,36,"36-Tunas, bonitos, billfishes",,,,,,,,,,,M
37,37,Chub mackerel,Scomber japonicus,F,F,F,F-O,O,M,M,M,M,M
37,37,Jack and horse mackerels nei,Trachurus spp,F,F,F,O,O,M,M,M,M,
37,37,Silversides(=Sand smelts) nei,Atherinidae,U,F,F,F-O,F-O,M,M,M,M,M
37,37,Other Miscellaneous pelagic fishes,,,,,,,,,,M,
37,37,37-Miscellaneous pelagic fishes,,,,,,,,,,,
37,45,Common prawn,Palaemon serratus,,,,,,,,,,L
37,45,Deep-water rose shrimp,Parapenaeus longirostris,O,O,O,F-O,F-O,L,L,L,L-M,L
37,45,"Other Shrimps, prawns",,,,,O,O,,,,L,
37,45,"45-Shrimps, prawns",,,,,,,,,,,
37,54,Mediterranean mussel,Mytilus galloprovincialis,,,,,,,,,,
37,54,54-Mussels,,,,,,,,,,,
37,56,Striped venus,Chamelea gallina,,,F-O,F,N-F-O,,,M,L-M,
37,56,"Other Clams, cockles, arkshells",,,,,,,,,,,
37,56,"56-Clams, cockles, arkshells",,,,,,,,,,,
37,57,Common cuttlefish,Sepia officinalis,U,N,U,F,F-O,L,L,M,M,M
37,57,Common octopus,Octopus vulgaris,F,F,F-O,F-O,F-O,M,M,M,M,M
37,57,Common squids nei,Loligo spp,U,N,U,F,F-O,M,M,M,M,M
37,57,"Other Squids, cuttlefishes, octopuses",,,,,,,,,,,
37,57,"57-Squids, cuttlefishes, octopuses",,,,,,,,,,,
41,31,Species or species groups,Scientific Name,,,,,,,,,,
41,31,"31-Flounders, halibuts, soles",,,,,,,,,,,
41,32,,,,,,,,,,,,
41,32,Argentine hake,Merluccius hubbsi,O,O,"F,O","O, O","O, O",L,L,L,L,L
41,32,Patagonian grenadier,Macruronus magellanicus,U,F,U,F,F,L,L,L,L,L
41,32,Southern blue whiting,Micromesistius australis,O,O,O,O,O,L,L,M,M,L
41,32,Southern hake,Merluccius australis,F-O,F-O,F-O,F-O,O,M,M,M,M,M
41,32,"Other Cods, hakes, haddocks",,,,,,, ,,,,
41,32,"32-Cods, hakes, haddocks, etc.",,,,,,,,,,,
41,33,,,,,,,,,,,,
41,33,Argentine croaker,Umbrina canosai,F-O,O,F-O,O,O,M,M,M,M,H
41,33,Striped weakfish,Cynoscion striatus,F-O,O,F-O,F,F,L,L,L,L,L
41,33,Weakfishes nei,Cynoscion spp,,, ,,, ,,,,L
41,33,Whitemouth croaker,Micropogonias furnieri,F-O,F-O,F-O,O,O,L,L,L,L,L
41,33,Other Miscellaneous coastal fishes,,,, ,,,,,,,
41,33,33-Miscellaneous coastal fishes,,,, ,,,,,,,
41,34,,,,, ,,,,,,,
41,34,Patagonian toothfish,Dissostichus eleginoides,O,F-O,O,O,O,L,L,M,M,L
41,34,Pink cusk-eel,Genypterus blacodes,O,O,O,O,O,L,L,M,M,L
41,34,Other Miscellaneous demersal fishes,,,,,,,,,,,
41,34,34-Miscellaneous demersal fishes,,,,,,,,,,,
41,35,,,,,,,,,,,,
41,35,Argentine anchovy,Engraulis anchoita,f,N,N,U,U,L,L,L,L,H
41,35,Brazilian sardinella,Sardinella brasiliensis,O,O,O,O,F,L,L,H,H,M
41,35,"Other Herrings, sardines, anchovies",,,,,,,,,,,
41,35,"35-Herrings, sardines, anchovies",,,,,,,,,,,
41,36,,,,,,,,,,,,
41,36,Albacore,Thunnus alalunga,,,,,,,,,,
41,36,Bigeye tuna,Thunnus obesus,,,,,,,,,,
41,36,Skipjack tuna,Katsuwonus pelamis,,,,,,,,,,
41,36,Swordfish,Xiphias gladius,,,,,,,,,,
41,36,Yellowfin tuna,Thunnus albacares,,,,,,,,,,
41,36,"Other Tunas, bonitos, billfishes",,,,,,,,,,,
41,36,"36-Tunas, bonitos, billfishes, etc.",,,,,,,,,,,
41,37,,,,,,,,,,,,
41,37,37-Miscellaneous pelagic fishes,,,,,,,,,,,
41,38,,,,,,,,,,,,
